"total_input_tokens","ttft_seconds"
436620.073578595,12.6390530994314
439462.882943144,12.72623196759
442305.692307692,12.8135988430461
445148.501672241,12.9011537257996
447991.311036789,12.9888966158505
450834.120401338,13.0768275131989
453676.929765886,13.1649464178447
456519.739130435,13.2532533297879
459362.548494983,13.3417482490286
462205.357859532,13.4304311755667
465048.16722408,13.5193021094023
467890.976588629,13.6083610505353
470733.785953177,13.6976079989658
473576.595317726,13.7870429546937
476419.404682274,13.876665917719
479262.214046823,13.9664768880418
482105.023411371,14.056475865662
484947.83277592,14.1466628505797
487790.642140468,14.2370378427948
490633.451505017,14.3276008423073
493476.260869565,14.4183518491173
496319.070234114,14.5092908632247
499161.879598662,14.6004178846295
502004.688963211,14.6917329133318
504847.498327759,14.7832359493316
507690.307692308,14.8749269926288
510533.117056856,14.9668060432234
513375.926421405,15.0588731011154
516218.735785953,15.1511281663049
519061.545150502,15.2435712387919
521904.35451505,15.3362023185763
524747.163879599,15.4290214056581
527589.973244147,15.5220285000373
530432.782608696,15.615223601714
533275.591973244,15.7086067106882
536118.401337793,15.8021778269598
538961.210702341,15.8959369505288
541804.02006689,15.9898840813952
544646.829431438,16.0840192195592
547489.638795987,16.1783423650205
550332.448160535,16.2728535177793
553175.257525084,16.3675526778355
556018.066889632,16.4624398451892
558860.876254181,16.5575150198403
561703.685618729,16.6527782017888
564546.494983278,16.7482293910348
567389.304347826,16.8438685875782
570232.113712375,16.9396957914191
573074.923076923,17.0357110025574
575917.732441472,17.1319142209932
578760.54180602,17.2283054467264
581603.351170569,17.324884679757
584446.160535117,17.4216519200851
587288.969899665,17.5186071677106
590131.779264214,17.6157504226335
592974.588628763,17.7130816848539
595817.397993311,17.8106009543718
598660.207357859,17.908308231187
601503.016722408,18.0062035152997
604345.826086957,18.1042868067099
607188.635451505,18.2025581054175
610031.444816053,18.3010174114225
612874.254180602,18.399664724725
615717.063545151,18.4985000453249
618559.872909699,18.5975233732223
621402.682274248,18.6967347084171
624245.491638796,18.7961340509093
627088.301003344,18.895721400699
629931.110367893,18.9954967577861
632773.919732441,19.0954601221707
635616.72909699,19.1956114938527
638459.538461538,19.2959508728321
641302.347826087,19.396478259109
644145.157190635,19.4971936526833
646987.966555184,19.5980970535551
649830.775919733,19.6991884617243
