"replicate","sampled_block_1","sampled_block_2","sampled_block_3","sampled_block_4","gamma","converged"
199,4,2,1,3,11.908702840395,TRUE
200,4,2,3,4,11.995798267223,TRUE
201,1,1,4,2,12.0184248028778,TRUE
202,1,3,4,1,9.29467274391156,TRUE
203,2,3,3,1,11.3423510080725,TRUE
204,4,2,3,1,11.9087028403949,TRUE
205,2,1,1,4,12.0184248028778,TRUE
206,4,2,4,4,12.2778853193945,TRUE
207,3,4,4,2,11.995798267223,TRUE
208,1,2,4,2,14.0786914447518,TRUE
209,2,3,3,2,13.814577954198,TRUE
210,4,1,2,1,12.0184248028778,TRUE
211,2,3,1,3,11.3423510080725,TRUE
212,4,4,2,1,12.9707721952072,TRUE
213,1,3,4,2,11.908702840395,TRUE
214,1,4,2,1,12.0184248028778,TRUE
215,2,3,1,4,11.908702840395,TRUE
216,3,2,3,4,11.3922992598629,TRUE
217,4,2,4,4,12.2778853193945,TRUE
218,1,4,4,2,12.9707721952072,TRUE
219,4,1,2,2,14.0786914447518,TRUE
220,2,3,4,4,11.995798267223,TRUE
221,1,1,3,3,9.16473825689039,TRUE
222,2,3,2,4,13.7218761112566,TRUE
223,4,2,4,1,12.9707721952072,TRUE
224,2,4,3,3,11.3922992598629,TRUE
225,2,1,1,3,11.2516146888505,TRUE
226,2,2,1,4,14.0786914447518,TRUE
227,1,1,3,2,11.2516146888505,TRUE
228,4,1,1,3,9.29467274391155,TRUE
229,3,3,4,1,9.07354987657694,TRUE
230,4,4,4,1,11.38507525399,TRUE
231,3,1,1,1,9.55066798785901,TRUE
232,2,3,2,1,13.2720957796899,TRUE
233,1,2,1,2,13.4748797877801,TRUE
234,2,4,4,3,11.995798267223,TRUE
235,2,1,4,2,14.0786914447518,TRUE
236,4,2,1,3,11.908702840395,TRUE
237,3,1,2,4,11.908702840395,TRUE
238,1,3,2,4,11.908702840395,TRUE
239,2,1,4,3,11.908702840395,TRUE
240,4,2,3,2,13.7218761112566,TRUE
241,3,1,4,2,11.908702840395,TRUE
242,3,2,4,4,11.995798267223,TRUE
243,3,3,3,4,9.20163529453947,TRUE
244,2,2,2,4,16.239133165738,TRUE
245,3,2,1,1,11.2516146888505,TRUE
246,3,3,1,3,8.61914983283702,TRUE
247,2,3,2,2,15.8650164384111,TRUE
248,4,1,3,1,9.29467274391156,TRUE
249,4,1,2,4,12.9707721952072,TRUE
250,1,1,2,2,13.4748797877801,TRUE
251,1,2,1,2,13.4748797877801,TRUE
252,3,3,2,4,11.3922992598629,TRUE
253,2,3,3,4,11.3922992598629,TRUE
254,4,2,1,3,11.908702840395,TRUE
255,4,4,1,2,12.9707721952072,TRUE
256,1,4,4,4,11.38507525399,TRUE
257,2,4,2,3,13.7218761112566,TRUE
258,4,4,2,4,12.2778853193945,TRUE
259,4,3,4,1,10.5262975023564,TRUE
260,4,2,1,2,14.0786914447518,TRUE
261,4,2,1,1,12.0184248028778,TRUE
262,2,4,4,1,12.9707721952072,TRUE
