"model","target_tokens","total_input_tokens","block","ttft_seconds"
"Claude Sonnet 5",175000,174994,13,2.48585926
"Claude Sonnet 5",250000,249994,13,3.629604452
"Claude Sonnet 5",375000,374994,13,5.031996439
"Claude Sonnet 5",550000,549994,13,7.848676519
"Claude Sonnet 5",50000,49994,13,1.09556982
"Claude Sonnet 5",750000,749994,14,10.720760818
"Claude Sonnet 5",175000,174994,14,2.876438745
"Claude Sonnet 5",250000,249994,14,3.541679406
"Claude Sonnet 5",900000,899994,14,12.167788263
"Claude Sonnet 5",375000,374994,14,5.255913386
"Claude Sonnet 5",50000,49994,14,1.20118617
"Claude Sonnet 5",100000,99994,14,1.723689655
"Claude Sonnet 5",550000,549994,14,7.612221867
"Claude Opus 5",550000,549994,1,14.479578964
"Claude Opus 5",175000,174994,1,5.243729238
"Claude Opus 5",375000,374994,1,10.01038889
"Claude Opus 5",50000,49994,1,5.720417084
"Claude Opus 5",100000,99994,1,2.553767855
"Claude Opus 5",750000,749994,1,19.358087707
"Claude Opus 5",900000,899994,1,20.434729347
"Claude Opus 5",250000,249994,1,14.355745549
"Claude Opus 5",50000,49994,2,2.213569412
"Claude Opus 5",550000,549994,2,15.155331696
"Claude Opus 5",175000,174994,2,10.162725861
"Claude Opus 5",750000,749994,2,16.963860876
"Claude Opus 5",900000,899994,2,22.001407081
"Claude Opus 5",250000,249994,2,5.78976566
"Claude Opus 5",375000,374994,2,8.78535014
"Claude Opus 5",100000,99994,2,2.888224796
"Claude Opus 5",550000,549994,3,11.886097427
"Claude Opus 5",50000,49994,3,2.190863446
"Claude Opus 5",750000,749994,3,16.236310726
"Claude Opus 5",175000,174994,3,4.431222053
"Claude Opus 5",100000,99994,3,3.731477067
"Claude Opus 5",900000,899994,3,24.474045945
"Claude Opus 5",375000,374994,3,7.617386873
"Claude Opus 5",250000,249994,3,5.771956447
"Claude Opus 5",100000,99994,4,2.951544103
"Claude Opus 5",375000,374994,4,14.820426466
"Claude Opus 5",900000,899994,4,26.497259809
"Claude Opus 5",750000,749994,4,15.808056276
"Claude Opus 5",175000,174994,4,9.185618557
"Claude Opus 5",550000,549994,4,15.023612479
"Claude Opus 5",50000,49994,4,1.87862001
"Claude Opus 5",250000,249994,4,9.225909185
"Claude Opus 5",50000,49994,5,1.9414104
"Claude Opus 5",375000,374994,5,10.162478344
"Claude Opus 5",900000,899994,5,20.813593295
"Claude Opus 5",175000,174994,5,7.279699363
"Claude Opus 5",750000,749994,5,16.473452858
"Claude Opus 5",100000,99994,5,3.674039845
"Claude Opus 5",550000,549994,5,16.391951735
"Claude Opus 5",250000,249994,5,4.889608832
"Claude Opus 5",50000,49994,6,2.157379582
"Claude Opus 5",375000,374994,6,8.008555615
"Claude Opus 5",550000,549994,6,11.012432507
"Claude Opus 5",750000,749994,6,15.725770158
"Claude Opus 5",900000,899994,6,20.606386881
"Claude Opus 5",100000,99994,6,2.58474629
"Claude Opus 5",175000,174994,6,4.556282717
"Claude Opus 5",250000,249994,6,9.402878303
